FeatureID,Mass,Retention_time,A1.mzML,A2.mzML,A3.mzML,A4.mzML,A5.mzML,A6.mzML,A7.mzML,A8.mzML,A9.mzML,A10.mzML,A11.mzML,A12.mzML,A13.mzML,A14.mzML,A15.mzML,pooled_QC_1.mzML
13372,243.124,3.868,7.46E-05,2.32E-05,2.99E-05,9.24E-05,1.88E-05,2.98E-07,9.78E-05,2.09E-06,2.57E-05,0.000101682,2.88E-05,2.96E-05,0.000208097,0.000123211,1.81E-05,8.75E-05
20903,243.16,5.882,2.25E-05,6.51E-06,1.19E-05,8.95E-05,0.000177953,1.79E-06,4.16E-05,1.92E-06,9.49E-06,4.09E-06,1.80E-06,2.05E-06,9.59E-06,1.81E-05,6.62E-07,5.84E-05
23017,243.16,6.519,0.001643259,0.000908017,0.000648607,0.000326323,0.000714546,0.000106139,0.002682725,0.000655949,0.002393104,0.00303866,0.001047864,0.00197681,0.002034673,0.001857882,0.000536897,0.001758961
24105,243.16,6.867,0.000234759,0.000166297,0.000171537,6.87E-05,0.000115971,6.57E-06,0.000226496,5.71E-05,0.00014758,0.000324992,9.27E-05,0.0001792,0.000176673,0.000226918,4.41E-05,0.000237741
22197,243.16,6.255,0.000218718,5.19E-05,6.57E-05,0.000172958,0.000414612,1.43E-06,0.000110935,1.92E-06,4.77E-05,0.000113464,3.37E-05,6.12E-05,5.11E-05,7.69E-05,1.49E-05,0.000307392
26679,243.16,7.58,0.000162201,7.18E-05,5.81E-05,5.49E-06,1.74E-05,1.91E-06,4.09E-05,2.84E-05,2.91E-05,3.79E-05,1.11E-05,2.79E-05,4.16E-05,4.04E-05,6.54E-06,8.14E-05
22628,243.16,6.397,0.000128136,4.74E-05,4.70E-05,5.90E-05,0.000105711,2.71E-06,0.000142004,3.55E-06,3.49E-05,9.42E-05,4.05E-05,4.18E-05,5.54E-05,7.27E-05,1.42E-05,0.000132061
24875,243.16,7.106,0.000110208,3.90E-05,3.44E-05,7.90E-06,1.77E-05,6.94E-07,4.66E-05,1.92E-06,3.85E-05,0.000103373,2.02E-05,4.22E-05,4.65E-05,7.32E-05,1.61E-05,6.92E-05
25093,243.16,7.161,0.000156665,6.66E-05,4.80E-05,1.07E-05,1.88E-05,1.05E-06,7.49E-05,1.92E-06,3.85E-05,5.26E-05,2.02E-05,1.99E-05,5.44E-05,0.000110212,1.39E-05,0.000118178
28593,243.175,8.038,0.000116543,5.58E-05,4.11E-05,1.74E-05,5.86E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,1.59E-05,2.40E-06,6.62E-07,4.36E-05
30525,243.197,8.489,0.000772735,0.000846765,0.000562814,0.00020288,0.000761278,3.24E-05,0.000315594,7.58E-05,0.000289245,0.000325408,0.000203414,0.000261059,0.000165125,0.000301374,0.00022037,0.00076235
